ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
8161079,14005,,PAN SWEET CORN MIX 500G,1,CASE,$43.50,18,NO,W43
14967182,11025,,SOMBRERP PANELA CHEESE (WEIGHED),1,CASE,$18.83,8.43,NO,W43
15193170,11027,,SOMBRERO ASADERO CHEESE SMALL,1,CASE,$18.83,7.24,NO,W43
14967160,11053,,SOMBRERO DURO BLANDO CHEESE 340G,1,CASE,$9.80,10,NO,W43
12011419,18012,,PIRUCREAM SMALL CAN 155G,1,CASE,$54.00,12,NO,W43
23924345,20010,,SOMBRERO TAPAS EMPANADAS,1,CASE,$57.50,10,NO,W43
8161402,21061,,CHOCORAMO CAKE 65G,3,CASE,$22.90,20,NO,W43
14750098,17033,,MAMA LYCHA FRIJOL DE OLLA ROJO 28 OZ,1,CASE,$60.80,12,NO,W43
8140151,18015,,SOL CINNAMON AND CLOVES CHOCOLATE 500G,1,CASE,$34.90,10,NO,W40
8140353,18010,,LUKER AZUCAR MORENA COFFEE 500G,1,CASE,$42.98,10,NO,W40
10281045,18002,,LUKER UNSWEETENED CINNAMON & CLOVES 250G,1,CASE,$67.90,20,NO,W40
14750341,18023,,SANTO DOMINGO COFFEE REG GROUND 1LB,1,CASE,$48.19,6,NO,W40
15030721,16053,,GOYA CORIANDER ANNATTO 100G,1,CASE,$103.80,18,NO,W40
14750137,19150,,CRICKETS PLANTAIN CHIPS SALADO 200G,1,CASE,$73.90,24,YES,W40
22007046,12088,,FRESCOLITA LATA CAN 355ML,1,CASE,$37.40,24,YES,W40
14960622,21044,,RAMO CHOCOBROWINE 65G,1,CASE,$53.60,14,YES,W40
16998703,21045,,RAMO MINI CHOCOBROWNIE 300G,1,CASE,$43.45,5,YES,W40
23483381,21108,,ALDOR PIN POP FRESA,1,CASE,$2.12,24,YES,W40
14750284,11030,,SOMBRERO COTIJA CHEESE SMALL,1,CASE,$80.50,12,NO,W40
14750313,11010,,SOMBRERO OAXACA CHEESE 190G,1,CASE,$51.24,12,NO,W40
17467730,23021,,NESTLE TABLE CREMA 225G,2,CASE,$85.95,24,NO,W40
21381336,20014,,PAN PAYA PANDEBONOS 270GR,2,CASE,$101.50,14,NO,W40
14967106,20104,,PAN PAYA BUNUELOS 480G,2,CASE,$134.40,67,NO,W40
14967182,11025,,SOMBRERP PANELA CHEESE (WEIGHED),1,CASE,$63.46,7.414,NO,W39
14750284,11030,,SOMBRERO COTIJA CHEESE SMALL,1,CASE,$54.82,6.07,NO,W39
15193170,11027,,SOMBRERO ASADERO CHEESE SMALL,1,CASE,$27.68,3.23,NO,W39
14967160,11053,,SOMBRERO DURO BLANDO CHEESE 340G,1,CASE,$58.80,6,NO,W39
15193460,11037,,RUMBA MEXICAN CREAM 375ML,1,CASE,$74.25,15,NO,W39
14960622,21061,,RAMO CHOCOBROWINE 65G,1,CASE,$22.90,20,YES,W39
14750113,21046,,RAMO MINI CHOCORAMO 400G,1,CASE,$37.60,5,YES,W39
16998703,21045,,RAMO MINI CHOCOBROWNIE 300G,1,CASE,$43.45,5,YES,W39
22008851,16036,,KISKAS GUASCAS 10G,1,CASE,$17.90,8,NO,W39
8201784,19207,,NESTLE COCOSELLE 25G,1,CASE,$24.98,24,NO,W39
22007083,19115,,TODO RICO 150G,1,CASE,$39.80,12,YES,W39
16975993,19129,,FRITO LAY MANI MOTO 44G,1,CASE,$12.20,12,YES,W39
15721665,19102,,FIESTA JAPANESE STYLE PEANUTS 180G,1,CASE,$15.80,10,YES,W39
8201764,12021,,POLAR MALTIN CAN 355ML,1,CASE,$41.90,24,YES,W39
14750368,12054,,TTCC PONY MALTA 330ML,2,CASE,$42.05,24,YES,W39
22007825,12090,,POSTOBON SODA NARANJA 355ML,1,CASE,$58.73,24,YES,W39
22007841,12091,,POSTOBON SODA PINA 355ML,1,CASE,$58.73,24,YES,W39
22007046,12088,,FRESCOLITA LATA CAN 355ML,1,CASE,$37.40,24,YES,W39
17468178,12030,,INCA KOLA 355ML,1,CASE,$26.95,24,YES,W39
8140151,18015,,SOL CINNAMON AND CLOVES CHOCOLATE 500G,1,CASE,$34.90,10,NO,W39
8140353,18010,,LUKER AZUCAR MORENA COFFEE 500G,1,CASE,$42.98,10,NO,W39
8140153,18031,,SU SABOR BOCADILLO VELENO COMBINADO 650G,1,CASE,$43.90,12,NO,W39
12011419,,,PIRUCREAM SMALL CAN 155G,1,CASE,$54.00,12,YES,W39
8198240,12021,,MALTIN POLAR BIG 355ML,1,CASE,$41.90,24,YES,W39
14967106,20104,,PAN PAYA BUNUELOS 480G,2,CASE,$67.20,8,NO,W30
17467730,23021,,NESTLE TABLE CREMA 225G,1,CASE,$73.20,24,NO,W30
17468178,12030,,INCA KOLA 355ML,1,CASE,$26.95,24,YES,W30
