ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
23471583,VVMS002,DJ,PH PICKLE MUSTARD WHOLE 800G,1,CASE,$48.00,12,NO,40
22758552,NPRN002,,PHOENIX RICE VERMICELLI HUE 375G,1,CASE,$50.00,30,NO,40
8169156,SASS004,,AJINOMOTO MSG 454G,1,CASE,$135.00,40,NO,40
15181439,PVRP024,,3 CAY TREE RICE PAPER 340G,1,CASE,$100.00,44,NO,40
12033389,VLKV007,,LUNGKOU VERMICELLI 454G,1,CASE,$60.00,30,NO,40
9303715,VPRH001,,PHOENIX RHIZOME KRACHAI WHOLE 454G,1,CASE,$60.00,24,NO,40
8406383,VPGL001,,PHOENIX WHOLE GALANGA IN BRINE 454G,1,CASE,$65.00,24,NO,40
18767813,SMSS012,,MAGGI SEASONING SAUCE RED 700ML,1,CASE,$42.00,12,NO,40
22758628,NSMN001,,SAFOCO RICE MACARONI 400G,1,CASE,$36.00,12,NO,40
22758841,NPRN011,,PHOENIX TAPIOCA VERMICELLI LONG 300G,1,CASE,$84.00,30,NO,40
22758974,CPSC001,,PHOENIX BLACK SESAME CRACKER 200G,1,CASE,$52.80,24,NO,40
22759198,BPGB002,,PHOENIX PEEL MUNG BEAN 300G,1,CASE,$75.00,50,NO,40
8180397,NPRN001,,PHOENIX RICE VERMICELLI 375G,2,CASE,$50.00,30,,30
8187637,VPPM002,,PHOENIX PICKLED MANGO 454G,1,CASE,$60.00,24,,30
11737820,SPRC003,,PANTAI RED CURRY PASTE 400G,1,CASE,$84.00,24,,30
18094773,SPTP006,,PANTAI TAMARIND PASTE 454G,1,CASE,$48.00,12,,30
8169155,SMFS002,,MEGACHEF PREMIUM FISH SAUCE 700ML,1,CASE,$60.00,12,,30
8872492,SPTP001,,PORKWAN TAMARIND PASTE 227G,1,CASE,$60.00,24,,30
8169162,SPMC002,,PORKWAN BT MINCED CRAB 200G,1,CASE,$65.00,24,,30
8169152,SLPB001,,LEE PHO BEEF MIX 45G,1,CASE,$33.60,48,NO,18
8173352,SPPS003,,PORKWAN PALM SUGAR JAR 500G,1,CASE,$72.00,24,NO,18
15181439,PVRP033,,3 CAY TREE RICE PAPER 340G,1,CASE,$100.00,44,NO,18
14810641,SMOS004,,MEGACHEF OYSTER SAUCE 600G,1,CASE,$55.00,12,NO,13
8169168,SVJF003,,VINAMIT JACKFRUIT CHIPS 210G,1,CASE,$85.00,20,NO,13
14967829,SDSB002,,DJ SOY BEAN PASTE 400G,2,CASE,$36.00,12,NO,13
8169153,SLWS001/2,,LEE WONTON SOUP MIX 45G,1,CASE,$33.60,48,NO,13
8169151,VLKV009,,LUNG KOW VERMICELLI 227G,2,CASE,$60.00,60,NO,13
12697507,VPSB005,,PHOENIX SOUR BAMBOO SHOOT 1.8KG,1,CASE,$42.00,6,NO,13
18758397,PVVM005,,VT FLOUR FOR SMALL PANCAKES 400G,1,CASE,$30.00,20,NO,13
18767801,SMSS013,,MAGGI SEASONING SAUCE YELLOW 700ML,1,CASE,$42.00,12,NO,13
18767810,SMSS002,,MAGGI SEASONING SAUCE YELLOW THAI 700ML,1,CASE,$42.00,12,NO,13
