ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
12460531,215331,,ASEEL VEGETABLE GHEE 1.15KG,1,CASE,$85.00,6,NO,W13
17418717,106100,,TEASHOP MAAMOUL,1,CASE,$22.00,72,NO,W13
8105561,104116,,GREENWORLD SESAME OIL 450ML,1,CASE,$60.00,12,NO,W13
18716476,400616,,HEWITT NATURAL YOGOURT 750G,1,CASE,$16.50,6,NO,W13
18767635,225293,,BURCU VINE LEAVES STUFFED 400G,1,CASE,$58.00,24,NO,W13
12317026,115655,,MATTE YERBA CRUZ DE MALTA 1KG,1,CASE,$50.00,6,NO,W13
8147873,119349,,YAMAMA TOMATO PASTE 1L,1,CASE,$54.00,12,NO,W13
11636165,701834,,GREENWORLD PINTO BEANS 907G,1,CASE,$40.00,12,NO,W13
8405677,107308,,GREENWORLD STRAWBERRY MARSHMALLOW 250G,1,CASE,$44.00,24,YES,W6
8105557,112708,,HAMWI CAFE MOCHA PLAIN RED 500G,1,CASE,$75.00,12,NO,W6
18203376,112715,,HAMWI CAFE CARDAMON GREEN 500G,1,CASE,$95.00,12,NO,W6
8105566,112340,,SELECTION NAJJAR COFFEE 450G,1,CASE,$75.00,10,NO,W6
8139383,470327,,LOKOUM TURKISH DELIGHT 454G,1,CASE,$80.00,24,YES,W6
8105559,711025,,MAGGI CHICKEN CUBES 24*21G,1,CASE,$100.00,24,NO,W32
16417540,220342,,ELITE CHICKEN LUNCHEON HALAL 340G,1,CASE,$65.00,24,NO,W32
18294681,220341,,ELITE CHICKEN & BEEF LUNCHEON HALAL 340G,1,CASE,$68.00,24,NO,W32
15316088,350742,,GW GARLIC SAUCE REGULAR 453G,1,CASE,$56.00,12,NO,W32
20883518,104123,,GREENWORLD SESAME OIL 1L,1,CASE,$42.00,4,NO,W32
11114911,119516,,YAMAMA GRENADINE MOLASSES 1KG,1,CASE,$60.00,12,NO,W40
23201733,115037,,CHAMAIN CHAMOMILE TEA 30G,1,CASE,$22.00,12,NO,W40
22916073,020102,,BISSAT HALAWA PLAIN 900G,1,CASE,$85.00,12,NO,W40
22915628,020164,,BISSAT HALAWA PISTACHIOS 900G,1,CASE,$100.00,12,NO,W40
9837335,270736,,GREENWORLD MOLOUKHIA CHOPPED 400G,1,CASE,$26.00,20,NO,W40
8105553,119509,,YAMAMA GRENADINE MOLASSES 400G,1,CASE,$55.00,24,NO,W40
9120859,107322,,GREENWORLD VANILLA MARSHMALLOW 250G,1,CASE,$44.00,24,NO,W40
15316091,350759,,GW GARLIC SOURCE STRONG 453G,1,CASE,$56.00,12,NO,W18
8153042,130832,,ABIDO KAFTA SPICES 100G,1,CASE,$22.00,10,NO,W18
8105560,701209,,GREENWORLD FINE SEMOLINA 2LB,1,CASE,$23.00,10,NO,W18
17212125,100415,,TAHINI EXTRA LEBANESE GW 40LB,1,CASE,$120.00,1,NO,W18
15316077,102822,,GW PICKLE TURNIPS SLICED 1L,1,CASE,$33.00,12,NO,W18
8148166,119486,,YAMAMA ROSE WATER 300ML,1,CASE,$36.00,24,NO,W18
8105569,119387,,YAMAMA JALLAB SYRUP 750ML,1,CASE,$48.00,12,NO,W18
8147778,250708,,VIMTO FRUIT FLAVOUR DRINK 330ML,1,CASE,$38.00,24,YES,W18
