ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
21681177.0,74003,,BANQUET BRAZIL FEIJOADA MIX STEW 340G,3.0,CASE,$93.50,10.0,NO,W41
21681133.0,74005,,BANQUET TOSCANA GRILL SAUSSAGE 375G,4.0,CASE,$83.99,12.0,NO,W41
20035510.0,74030,,PASTEL JOSELITO MEDIA 500G,1.0,CASE,$74.03,12.0,NO,W41
19041248.0,14828,,PASTEL JOSELITO ROLL 500G,1.0,CASE,$71.50,12.0,NO,W41
23584616.0,74002,,BANQUET SMOKED CALABRESA SAUSSAGE 375G,2.0,CASE,$79.90,12.0,NO,W41
23591166.0,74060,,BANQUET GOURMET COALHO GRILL CHEESE ,1.0,CASE,$302.21,36.0,NO,W41
23584639.0,80101,,BANQUET GOURMET ARRACACHA 680G,1.0,CASE,$109.00,16.0,NO,W41
14896172.0,12403,,PREDILECTA GUAVA PASTE 500G,1.0,CASE,$72.94,24.0,NO,W41
19043287.0,10300,,BROTO LEGAL CARIOCA BEANS CARIOCA 1KG,2.0,CASE,$48.90,10.0,NO,W41
8406568.0,15001,,GUARANA ANTARCTICA 2L,5.0,CASE,$28.90,6.0,NO,W41
21682463.0,15003,,GUARANA ANTARCTICA DIET 350ML,2.0,CASE,$16.90,12.0,YES,W41
14228001.0,12503,,LACTA BIS WHITE CHOCOLATE 20X6.3G,1.0,CASE,$172.90,60.0,YES,W41
14228011.0,12504,,LACTA BIS CHOCOLATE COOKIES 20X6.3G,1.0,CASE,$171.90,60.0,YES,W41
23587115.0,14241,,NESTLE PASSATEMPO LEITE MILK COOKIE 150G,1.0,CASE,$79.90,54.0,NO,W41
23587130.0,16569,,STA PACOQUITA EMBALADA 288G,1.0,CASE,$104.74,24.0,YES,W41
8140460.0,13588,,YOKI CHEESE BREAD - PAO DE QUEIJO 1KG,2.0,CASE,$57.90,6.0,NO,W41
19042851.0,11593,,AROMA MINAS PIMENA DE BICO RED 780G,1.0,CASE,$137.45,12.0,NO,W41
23587154.0,10444,,SAO LOURENCO DOCE LEITE 700G,1.0,CASE,$69.93,6.0,NO,W41
23587161.0,14281,,NESTLE NESTON 3 CEREAIS LATA 400G,1.0,CASE,$128.00,18.0,NO,W41
23587295.0,1150-M,,LEBRE SALT MARINHO 1KG,1.0,CASE,$16.90,10.0,NO,W41
20036025.0,16547,,STA HELENA CROKISSIMO 90G,1.0,CASE,$24.26,20.0,YES,W41
23587304.0,16534,,STA HELENA TROFEU QUEIJO 40G,1.0,CASE,$16.54,20.0,YES,W41
23587317.0,13423,,AMAFIL PARA TAPIOCA 500G,2.0,CASE,$50.90,21.0,NO,W41
23587324.0,14265,,NESTLE CHOKITO 32G,1.0,CASE,$47.02,30.0,YES,W41
8140458.0,11434,,TEA MATTE LEAO 40G,1.0,CASE,$76.55,30.0,NO,W41
23587412.0,16100,,BARAO CHIMARRAO ERVA MATE TEA 1KG,1.0,CASE,$123.20,10.0,NO,W41
23587340.0,11407,,PILAO COFFEE EXTRA STRONG 500G,1.0,CASE,$150.00,20.0,NO,W41
8140464.0,13518,,YOKI SHOESTRING POTATO BATATA PALHA 105G,1.0,CASE,$59.90,20.0,YES,W41
8140463.0,13596,,YOKI POTATO STICKS XTRA THIN 100G,1.0,CASE,$59.90,20.0,YES,W41
23587353.0,16535,,STA HELENA TROFEU CHURRASCO 40G,1.0,CASE,$16.54,20.0,YES,W41
23587368.0,16532,,STA HELENA TROFEU BACON 40G,1.0,CASE,$16.54,20.0,YES,W41
19058413.0,12629,,CAMIL WHITE RICE 2LB,1.0,CASE,$20.90,10.0,NO,W41
20035431.0,11580,,DENDE PALM OIL 200ML,1.0,CASE,$69.83,12.0,NO,W24
20035510.0,14826,,PASTEL JOSELITO MEDIA 500G,2.0,CASE,$71.50,12.0,NO,W24
19041785.0,14403,,VALEDOURO SALTED COOKIE 100G,2.0,CASE,$49.25,25.0,NO,W24
20035547.0,10120,,RENATA CREAM CRACKER 200G,1.0,CASE,$46.45,30.0,NO,W24
20035565.0,10151,,RENATA BISCUIT MAIZENA 360G,1.0,CASE,$43.15,20.0,NO,W24
19788146.0,12620,,TIO JOAO RICE 10LB,2.0,CASE,$82.50,6.0,NO,W24
20035642.0,12621,,TIO JOAO RICE 2LB,1.0,CASE,$34.49,10.0,NO,W24
,74003,,BANQUET BRAZIL FEIJOADA MIX 340G,1.0,CASE,$93.50,10.0,NO,W24
,73010,,CATUPIRY CHEESE BUN 390G,1.0,CASE,$100.80,12.0,NO,W24
20035696.0,12816,,UBAYA GRAPE JUICE 1L,1.0,CASE,$46.15,6.0,NO,W24
19041431.0,16573,,STA HELENA PACOQUITA 350G,1.0,CASE,$108.05,24.0,YES,W24
20035744.0,13407,,AMAFIL CANJICA WHITE CORN 500G,1.0,CASE,$53.75,20.0,NO,W24
20035750.0,11430,,TEA MATTE LEAO 200G,1.0,CASE,$166.95,30.0,NO,W24
20035997.0,14409,,VALEDOURO CHEESE COOKIE 100G,1.0,CASE,$49.25,25.0,NO,W24
20036010.0,11426,,3 CORACOES CAPUCCINO CLASSIC 200G,1.0,CASE,$145.00,24.0,NO,W24
,74005,,BANQUET BRAZIL GRILL SAUSAGE 375G,1.0,CASE,$83.99,12.0,NO,W24
20036225.0,13704,,PANELUX CEREJA 1.6L,1.0,UNITS,$21.60,1.0,YES,W24
8140450.0,15002,,GUARANA ANTARCTICA 350ML,4.0,CASE,$14.99,12.0,YES,W24
19044869.0,10301,,BROTO LEGAL CARIOCA BEANS BLACK 1KG,3.0,CASE,$48.90,10.0,NO,W38
21682378.0,11660,,FRUTABELLA BANANA 30G,1.0,CASE,$36.02,24.0,YES,W38
21693153.0,10460,,AVIACAO DOCE DE LEITE 400G,1.0,CASE,$102.00,12.0,NO,W38
21682356.0,12411,,PREDILECTA JELLY NATURAL GLASS 180G,2.0,CASE,$69.92,24.0,NO,W38
21682330.0,12438,,PREDILECTA MILHO GREEN CORN POUCH 170G,1.0,CASE,$65.11,32.0,NO,W38
13623391.0,14800,,VOVOZINHA SWEET POPCORN 60G,1.0,CASE,$36.63,30.0,YES,W38
21681935.0,10553,,BUBBALOO UVA GRAPE,2.0,CASE,$6.44,60.0,YES,W38
