ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
24120017,CS1102E,LEMOND,KYUNG GI MI RICE 40LB,1.0,CASE,$42.00,12.0,NO,43.0
23922966,DM1022,LEMOND,CRD BLACK FUNGUS 4OZ,1.0,CASE,$82.00,20.0,NO,43.0
23922976,JNK112,LEMOND,NS KIMCHI NOODLE MULTI 480G,1.0,CASE,$20.00,4.0,NO,43.0
8169511,JNS112,LEMOND,NONGSHIM SHIN RAMEN M 480G,2.0,CASE,$38.40,4.0,NO,43.0
12097215,KB1104,LEMOND,CJ KOREAN BBQ CHICKEN PORK 480G,1.0,CASE,$50.40,12.0,NO,43.0
8169504,KS2045,LEMOND,DAESANG RED PEPPER PASTE 500G,1.0,CASE,$80.00,20.0,NO,43.0
23923573,NO1004M,LEMOND,OTG CHEESE RAMEN MULTI 444G,2.0,CASE,$53.60,8.0,NO,43.0
23884945,EA9901,LEMOND,OH SANUKI UDON 230G,1.0,CASE,$33.60,8.0,NO,43.0
18851472,EC1053,LEMOND,CRD DUMPLING VEGETABLE 540G,1.0,CASE,$35.00,10.0,NO,43.0
18851511,EC4983,LEMOND,CJ BIBIGO CHEESE CORN DOG 480G,1.0,CASE,$106.80,12.0,NO,43.0
11396980,EC4997,LEMOND,BIBIGO SPICY PORK DUMPLING 680G,1.0,CASE,$117.60,12.0,NO,43.0
18425169,KB1053A,LEMOND,CJ COOKED WHITE RICE 210G,1.0,CASE,$19.20,12.0,NO,43.0
18425157,KB1053C,LEMOND,CJ COOKED WHITE RICE 6X210G,1.0,CASE,$84.60,6.0,NO,43.0
23933710,PS2010,LEMOND,CRD FINE SEA SALT 454G,1.0,CASE,$54.00,30.0,NO,43.0
8283571,LM1001,LEMOND,MAEIL BIOFEEL PLAIN 315ML,1.0,CASE,$25.20,20.0,YES,41.0
18614099,NB1001,LEMOND,BULRAMEN SPICY CKN ORI BLACK 5PACK,2.0,CASE,$44.00,8.0,NO,41.0
21244367,TP9905,LEMOND,VTALK PINK PEACHADE 350ML,1.0,CASE,$23.60,24.0,YES,41.0
8566778,EH1107,LEMOND,HS RICE CAKE STICK 1KG,2.0,CASE,$39.60,12.0,NO,41.0
