ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
18721071,BAMFC030002,MERLIN,F SOY SAUCE BAMBOO SHOOT 280G,1.0,CASE,$69.00,30.0,NO,13
18721080,CADCG30001,,CHUN GUANG COCONUT CANDY 250G,1.0,CASE,$81.00,30.0,YES,13
18721101,BISWW024001,,WANG WANG CRACKER STICK VANILLA 60G,1.0,CASE,$36.00,24.0,NO,13
18721115,BISWZ024001,,WANG WANG MILK PUFF FOR TEA 60G,1.0,CASE,$36.00,24.0,NO,13
18721134,DRIDF015001,,NONGFUSPRING OOLONG TEA 500ML,1.0,CASE,$22.50,15.0,NO,13
18721149,FUGYL050005,,YONG LONG BLACK FUNGUS 100G,1.0,CASE,$140.00,50.0,NO,13
18721174,SEEML030001,,MERLIN LOTUS SEED 300G,1.0,CASE,$180.00,30.0,NO,13
18721186,SNAYQ020001,,NOODLE SNACK BLACK BEEF FLAV 220G,1.0,CASE,$46.00,20.0,NO,13
18721200,RICWF036004,,WUFUYUAN NEW SAGO ORI 250G,1.0,CASE,$90.00,36.0,NO,13
18721221,SOMML080010,,MERLIN CHINESE YAM 170G,1.0,CASE,$200.00,80.0,NO,13
18721268,DRISQ024001,,MERLIN SWEET OSMANTHUS PASTE 320G,1.0,CASE,$48.00,24.0,NO,13
18721374,BISYL024008,,YUN LANG WIFE CAKE 300G,1.0,CASE,$79.20,24.0,NO,13
18721387,BISYL012005,,YUN LANG PHOEIX EGG ROLL 454G,1.0,CASE,$72.00,12.0,NO,13
18721394,PASOP030002,,XINHE SOY BEAN PASTE 400G,1.0,CASE,$30.00,30.0,NO,13
18723819,SNAHZX024001,,HAHN SHYUAN RICE CAKE 200G,1.0,CASE,$84.00,24.0,NO,13
18727891,BISYL015003,,YONG LI MULTI GRAIN CRACKER COCO 100G,1.0,CASE,$67.50,15.0,NO,13
16279945,NOOYP015006,,MERLIN HOT DRY NOODLES 2LB,1.0,CASE,$39.00,15.0,NO,13
18198236,SNALS048010,,LAYS CHIP SHRIMP GRILLED 42G,1.0,CASE,$64.80,48.0,YES,6
18198235,SNALS048013,,LAYS CHIP CRAB SPICY 43G,1.0,CASE,$64.80,48.0,YES,6
18198232,SNALS048007,,LAYS CHIP SQUID HOT 46G,1.0,CASE,$64.80,48.0,YES,6
18198228,BECML060001,,MERLIN DRIED BEANCURD STICK 150G,1.0,CASE,$120.00,60.0,NO,6
18198223,BISYY024002,,MERLIN MINI CRACKER 200G,1.0,CASE,$48.00,24.0,NO,6
18198219,PEAML024002,,MERLIN RED SKIN PEANUT 700G,1.0,CASE,$100.80,24.0,NO,6
18221803,CHIML012003,,DHP SICHUAN PEPPERCORN 50G,1.0,CASE,$480.00,120.0,NO,6
18198214,MISDP012002,,SOAP DIAO 176Gx3,,CASE,$48.00,12.0,YES,6
18198212,BISJY012001,,MERLIN SOFT CAKE EGG FLV 608G,1.0,CASE,$54.00,12.0,NO,6
18198207,PRVYQ100015,,FW MUSTARD HOT 80Gx4,1.0,CASE,$45.00,25.0,NO,6
18198205,PRVYQ100002,,FW MUSTARD SHREDDED 80GX4,1.0,CASE,$42.50,25.0,NO,6
18198201,BECLF0350001,,MERLIN ROASTED CLUTEN 200G,1.0,CASE,$94.50,35.0,NO,6
18198196,PRVLF060001,,MERLIN BUD OF CHINESE TOON 200G,1.0,CASE,$120.00,60.0,NO,6
18198192,NOOML070001,,MERLIN FRIED GLUTEN BALL 38G,1.0,CASE,$70.00,70.0,NO,6
18198185,DRINF015006,,GRAPEFRUIT GREEN TEA 500ML,1.0,CASE,$22.50,15.0,NO,6
18198179,CADGS060001,,WHITE RABBIT CREAMY CANDY 180G,1.0,CASE,$120.00,60.0,YES,6
16279971,WINCJ006001,,MERLIN HUA DIAO CHIEW COOKING WINE 3L,1.0,CASE,$36.00,6.0,NO,6
18198168,WINCJ012004,,SHAO RICE WINE 640ML,1.0,CASE,$30.00,12.0,NO,6
16278049,BISXW010001,,MERLIN RICE CRACKER 488G,1.0,CASE,$50.00,10.0,NO,6
16279944,NOOYP015004,,MERLIN YANGCHUN NOODLES 2LB,,,,,,35
,MISDP012002,,SOUP DIAO 176Gx3,1.0,CASE,$48.00,12.0,NO,26
16279944,,,MERLIN YANGCHUN NOODLES 2LB,2.0,CASE,$39.00,15.0,NO,26
16279940,TEAML012001,,MERLIN TEA GREEN BOTTLE GLASS 250G,1.0,CASE,$120.00,12.0,NO,26
16279941,TEAML012008,,MERLIN TEA BROWN BOTTLE GLASS 210G,1.0,CASE,$120.00,12.0,NO,26
16279957,SOSSH012001,,MERLIN SUPERFINE SOY SAUCE GREEN 500G,1.0,CASE,$45.60,12.0,NO,26
8189180,DRIMW024004,,TQF MILK PEANUT SOUP 320G,1.0,CASE,$32.00,24.0,NO,26
