ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
8169508,KD011,,KADOYA SESAME OIL 1.65L,1,CASE,$228.00,10,NO,13
18754284,03251,,PALDO CINNAMON PUNCH 238ML,1,CASE,$26.50,24,YES,13
11736418,HCD17,,HAECHANDLE GOCHUJANG HOT 500G,1,CASE,$86.90,20,NO,13
8623865,15041,,BINGGRAE BANANA FLAVOUR DRINK 1.2L,2,CASE,$25.52,4,NO,13
8623856,18532,,BINGGRAE STRAWBERRY FLAVOUR DRINK 1.2L,2,CASE,$25.52,4,NO,13
18407404,34514,,WANG RICE CAKE STICK 600G,1,CASE,$44.00,12,NO,13
18407851,19727,,SURASANG CABBAGE KIMCHI 5KG,4,CASE,$36.30,2,NO,13
12697655,NS-115,,NONGSHIM SHIN RAMYUN LIGHT 388G,2,CASE,$59.50,8,NO,13
8169514,SYR-064,,SAMYANG BULDAK BOKKUMYUN M 700G,2,CASE,$42.00,8,NO,13
8180820,SYR-064C,,SAMYANG BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$42.00,8,NO,13
8169513,SYR-064CJ,,SAMYANG JJAJANG BUL DAK BOKKUMYUN M 700G,2,CASE,$45.00,8,NO,13
18767822,29795,,WANG BULDAK UDON BOWL HOT 221G,3,CASE,$15.95,6,NO,13
12077470,17957,,BINGGRAE SAMANCO CHOCOLATE ICEREAM 600ML,1,CASE,$31.90,6,YES,13
12290556,17956,,BINGGRAE SAMANCO SRBY ICECREAM 600,2,CASE,$31.90,6,NO,9
12460691,02662,,FIRESTONE BUTANE GAS CARTRIDGE 227G,1,CASE,$43.45,28,YES,9
11056555,TK905,,NONGSHIM GLASS NOODLES SWEET POTATO 400G,1,CASE,$64.35,25,NO,9
18407895,21169,,PAN ASIS SCRUBBER STAINLESS 3PC,1,CASE,$62.75,40,YES,9
18407905,00687,,WANG GLUTINOUS INDIAN MILLET 453G,1,CASE,$119.98,24,NO,9
12097078,15781,,WANG YOGO VEERA MANGO 500ML,1,CASE,$29.90,20,YES,22
12097064,15782,,WANG YOGO VEERA PEACH 500ML,1,CASE,$27.85,20,YES,22
12097091,34112,,WANG YOGO VEERA WATERMELON 500ML,1,CASE,$29.90,20,YES,22
14967715,03227D,,KAKAO PEACH SMOOTHIE 190ML,2,CASE,$59.00,24,YES,22
8187575,15592,,SUKINA GYOZA SAUCE 230ML,1,CASE,$37.50,12,NO,22
12934176,31552,,SURASANG CABBAGE KIMCHI 1.2KG,2,CASE,$36.30,6,NO,22
10020044,31553,,SURASANG CABBAGE KIMCHI 600G,2,CASE,$40.70,12,NO,22
8169515,09819,,SUKINA FZN UDON NOODLE 1.15G,1,CASE,$35.20,8,NO,22
18853239,AM-001,,KIKKOMAN AJI MIRIN 300ML,1,CASE,$45.75,12,NO,14
18853253,10833,,WANG SOY BEAN PASTE 500G,1,CASE,$55.75,20,NO,14
18853267,29623,,WANG BAMBOO CHOPSTICK 4PC,1,CASE,$19.98,10,YES,14
,SYR-064HL,,SAMYANG BULDAKBOKKUMYUN M LIME 5PC,1,CASE,$44.00,8,NO,14
18853278,SYR-023HL,,SAMYANG BULDAK LIME BOWL 105G,1,CASE,$25.20,16,NO,14
,BS0011,,BIBIGO GYOZA DUMPLING PORK 680G,1,CASE,$123.00,12,NO,14
8169502,BS0012,,BIBIGO GYOZA DUMPLING BEEF 680G,1,CASE,$123.00,12,NO,14
8195178,00041,,SURASANG FZN KIMCHI DUMPLING 454G,1,CASE,$42.90,16,NO,14
8566846,00042,,SURASANG VEGETABLE GYOZA DUMPLING 454G,1,CASE,$42.90,16,NO,14
14967727,03226,,KAKAO MANGO SMOOTHIE 190ML,1,CASE,$59.00,24,YES,1
14967714,03228D,,KAKAO APPLE SMOOTHIE 190ML,1,CASE,$59.00,24,YES,1
14967713,03229,,KAKAO KIWI SMOOTHIE 190ML,1,CASE,$59.00,24,YES,1
8169504,CW126H,,DAESANG RED PEPPER PASTE 500G,1,CASE,$82.00,20,NO,1
,31553,,SURASUNG CABBAGE KIMCHI 600G,1,CASE,$41.00,12,NO,1
8169510,NS-079,,NONGSHIM SHIN RAMEN BLACK MULTI 520G,2,CASE,$47.40,6,NO,1
,SYR-064C,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$42.00,8,NO,1
10284643,SYR-064K,,SAMYANG BULDAK KIMCHI 675G,2,CASE,$42.00,8,NO,1
10284650,SYR-064TO,,SAMYANG BULDAK TOMATO PASTE 700G,2,CASE,$44.00,8,NO,1
8189149,SYR-023D,,SAMYANG BULDAK TOPOKKI 185G,1,CASE,$34.98,16,NO,1
12290454,03601,,WANG IMITATION CRAB STICKS 300G,1,CASE,$94.50,30,NO,1
15197033,00040,,SURASANG LEEK GYOZA DUMPLING 454G [1],1,CASE,$49.50,16,NO,1
8789607,SB03513,,S&B TASTY CURRY MEDIUM 200G,2,CASE,$45.00,10,NO,5
9733109,SB03514,,S&B GOLDEN CURRY SAUCE MIX MILD 220G,2,CASE,$45.00,10,NO,5
19508153,SB03515,,S&B GOLDEN CURRY HOT 220G,2,CASE,$45.00,10,NO,5
14967487,36114,,WANG MOZZARELLA FISH CORN-DOG 375G,1,CASE,$92.90,12,YES,5
10283307,HCD13,,HAECHANDLE GOCHUJANG 1KG,2,CASE,$100.50,12,YES,5
10283274,HCD16,,HAECHANDLE GOCHUJANG 500G,2,CASE,$86.90,20,NO,5
14967510,36114,,WANG CHEESE RICE CAKE CORN-DOG 400G,1,CASE,$98.90,12,NO,28
9120726,15780,,WANG YOGO VEERA PINEAPPLE 500ML,1,CASE,$29.90,20,YES,28
10281864,16492,,WANG YOGO VEERA COCONUT 500ML,1,CASE,$29.90,20,YES,28
20438382,15210,,WANG NAMA UDON BOWL 221G,2,CASE,$15.95,6,NO,28
20018446,05430,,WANG YOGO VEERA PASSION FRUIT 500ML,1,CASE,$29.90,20,YES,24
12097047,16681,,WANG YOGO VEERA MELON 500ML,1,CASE,$29.90,20,YES,24
9120060,16713,,WANG YOGO VEERA STRAWBERRY 500ML,1,CASE,$29.90,20,YES,24
,SB03515,,S&B GOLDEN CURRY SAUCE MIX HOT 220G,2,CASE,$45.00,10,NO,24
8185624,BS0401,,CJ KOREAN BBQ BULGOGI 500G,1,CASE,$53.50,12,NO,24
12097233,BS0403,,CJ KOREAN BBQ CHICKEN PORK SPICY 500G,1,CASE,$53.50,12,NO,24
12097190,BS0406,,CJ KOREAN BBQ KALBI 480G,1,CASE,$53.50,12,NO,24
12097215,BS0407,,CJ KOREAN BBQ CHICKEN PORK 480G,1,CASE,$53.50,12,NO,24
8169511,NS-008K,,NONGSHIM SHIN RAMEN M 480G,2,CASE,$39.30,32,NO,24
8169510,NS-079S,,NONGSHIM SHIN RAMEN BLACK MULTI 520G,2,CASE,$31.60,16,NO,24
11056577,TK901,,NONGSHIM PHO RICE NOODLES MILD 77.1G,2,CASE,$33.00,18,NO,24
9733939,NS-026,,NONGSHIM SHIN CUP 75G,2,CASE,$7.88,6,NO,24
11397208,NS-026V,,NONGSHIM SHIN VEGAN CUP 75G,2,CASE,$7.88,6,NO,24
10281940,NS-027,,NONGSHIN BLACK CUP 101G,1,CASE,$12.72,6,NO,24
17183018,NS-048,,NONGSHIM KIMCHI OOLONG CUP 75G,1,CASE,$7.88,6,NO,24
9733091,SB03514,,S&B GOLDEN CURRY SAUCE MIX MILD HOT 220G,1,CASE,$45.00,10,NO,37
12923459,10756,,WANG BEEF BBQ BULGOGI SAUCE 480G,1,CASE,$42.00,15,NO,37
8169504,CW104H,,DAESANG RED PEPPER PASTE 500G,1,CASE,$79.50,20,NO,37
8623844,20702,,BINGGRAE MELON FLAVOUR DRINK 1.2L,1,CASE,$26.95,4,NO,37
10618173,10180,,SUKINA PICKLED RADISH FOR SUSHI 350G,1,CASE,$52.50,30,YES,37
8169511,NS-008S,,NONGSHIM SHIN RAMEN M 480G,2,CASE,$19.65,4,YES,37
18300794,04475,,SUKINA ROASTED LAVER SUSHI SHEET 25g,1,CASE,$99.50,50,YES,37
21554439,OP111,,ORION CHOCO PIE 468G,1,CASE,$30.80,8,NO,37
14967487,34993,,WANG MOZZARELLA FISH CORN-DOG 375G,1,CASE,$101.00,12,NO,37
8169366,BS0011,,BIBIGO GYOZA DUMPLING PORK 907G,2,CASE,$123.00,12,NO,37
10020152,17839,,SURASANG SLICED RICE CAKE 650G,1,CASE,$50.60,16,NO,37
14967695,CS101,,CHUNGSOO COLD NOODLE 720G,1,CASE,$149.98,30,NO,26
8410769,HCD13,,DAESANG HOT PEPPER PASTE 1KG,1,CASE,$102.00,12,NO,20
8169504,HCD16,,DAESANG RED PEPPER PASTE 500G,1,CASE,$83.00,20,NO,20
10020090,17840,,SURASUNG RICE CAKE STICK 650G,1,CASE,$50.60,16,NO,20
8413862,14425,,SURASANG DUMPLING WRAPPERS 280G,1,CASE,$60.95,24,NO,20
8169517,13223,,WANG BEEF BBQ MARINADE SAUCE 840G,1,CASE,$46.20,12,NO,41
23583950,07356,,WANG DRIED MUSHROOM SHITAKE 100G,1,CASE,$180.00,25,NO,41
19277000,CW116H,,DAESANG HOT PEPPER PASTE YELLOW LID 1KG,1,CASE,$74.00,12,NO,41
10283307,HCD13M,,HAECHANDLE GOCHUJANG 1KG,1,CASE,$105.50,12,NO,41
23583962,BS0325,,CJ BAEKSUL PREMIUM SALT 1KG,1,CASE,$43.40,10,NO,41
23583963,SP-077,,SEMPIO FINE SALT 1KG,1,CASE,$68.86,15,NO,41
23582921,33171,,JUHO FZN SWEET POTATO RICE CAKE 1KG,1,CASE,$57.50,8,NO,41
19277821,LCD-08,,LOTTE CANNED COFFEE 175ML,1,CASE,$23.50,30,YES,18
