ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
21552253,6069,SHINY STAR,MOGU MOGU MELON FLV DRINK 320ML,2,CASE,$30.00,24,YES,W37
21552272,6105,SHINY STAR,MOGU MOGU PINA COLADA FLV DRINK 320ML,2,CASE,$30.00,24,YES,W37
21552277,6335,SHINY STAR,MOGU MOGU WATERMELON FLV DRINK 320ML,2,CASE,$30.00,24,YES,W37
21552260,6165,SHINY STAR,MOGU MOGU GRAPE JUICE FLV DRINK 320ML,1,CASE,$30.00,24,NO,W37
8168857,3220,SHINY STAR,OISHI PRAWN CRACKER REG 95G,1,CASE,$42.00,30,YES,W37
11636595,3059,SHINY STAR,CHICKBOY SWEET CORN FLAVOUR 100G,1,CASE,$48.00,40,YES,W37
8173338,2258,SHINY STAR,SQUID BRAND FISH SAUCE 725ML,2,CASE,$40.00,12,NO,W37
11637465,F5055,SHINY STAR,KABABAYAN FROZEN CATFISH,1,CASE,$77.00,22,NO,W37
17182082,6072,SHINY STAR,MOGU MOGU PINEAPPLE FLV DRINK 320ML,2,CASE,$30.00,24,YES,W31
17182081,6070,SHINY STAR,MOGU MOGU LYCHEE FLV DRINK 320ML,3,CASE,$30.00,24,YES,W31
17182077,6198,SHINY STAR,MOGU MOGU PEACH FLV DRINK 320ML,3,CASE,$30.00,24,YES,W31
16112500,6071,SHINY STAR,MOGU MOGU COCONUT FLV DRINK 320ML,2,CASE,$30.00,24,YES,W31
16065611,6076,SHINY STAR,MOGU MOGU STRAWBERRY FLV DRINK 320ML,2,CASE,$30.00,24,YES,W31
12220369,2032,SHINY STAR,MOTHERS BEST BBQ MERINADE 350ML,1,CASE,$45.60,12,NO,W31
20773089,F5120,SHINY STAR,BARRIO FIESTA WHOLE MILKFISH 400G,1,CASE,$125.40,33,NO,W31
16065613,6074,SHINY STAR,MOGU MOGU MANGO FLV DRINK 320ML,1,CASE,$30.00,24,NO,W24
16030415,4028,SHINY STAR,KOPIKO COFFEE CANDY BAG 120G,1,CASE,$33.60,24,YES,W24
8168870,2086,SHINY STAR,UFC BANANA SAUCE REGULAR 550G,1,CASE,$54.00,18,NO,W23
19844649,2076,SHINY STAR,JUFRAN BANANA SAUCE 340G,1,CASE,$48.00,24,NO,W23
16582823,1080,SHINY STAR,SAFEGUARD LEMON SOAP 130G,12,CASE,$3.00,1,YES,W23
16582818,1023,SHINY STAR,CREAMSILK STANDOUT CONDITIONER 180ML,6,CASE,$4.50,1,YES,W23
19844507,1024,SHINY STAR,CREAMSILK CONDITIONER BLUE 180ML,6,CASE,$4.50,1,YES,W23
19844498,1115,SHINY STAR,CREAMSILK CONDITIONER ORANGE 180ML,6,CASE,$5.00,1,YES,W23
14781166,F5091,SHINY STAR,KABA YELLOW JACKFRUIT 250G,1,CASE,$64.50,30,NO,W23
18429529,3257,SHINY STAR,CHICKBOY SPAGHETTI FLAVOUR 100G,1,CASE,$48.00,40,YES,W9
8180856,5126,,GALINCO KUTSINTA 180G,1,CASE,$36.00,24,NO,W3
17582694,F5014,,KABABAYAN TULINGAN TUNA 680G,1,CASE,$67.50,15,NO,W3
