ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
8163535,08317,APPLETON,HTB HARD DOUGH BREAD WHITE 900G,1,CASE,$39.00,10,NO,13
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,13
8163537,08305,,HTB SPICE BUN SMALL 4.6OZ,1,CASE,$73.00,60,NO,13
8163536,08306,,HTB SPICE BUN 12OZ,1,CASE,$86.00,36,NO,13
8282912,08295,,HTB SPICE BUN 28OZ,1,CASE,$120.00,18,NO,13
12935845,08310,,HTB EASTER BUN 992G,1,CASE,$165.00,18,NO,13
12935882,08311,,YUMMY EASTER BUN 1.59KG,1,CASE,$165.00,10,NO,13
12935919,08312,,NATIONAL EASTER BUN 1.59KG,2,CASE,$165.00,10,NO,13
9508681,09801,,AFRICAN CHOICE PALM OIL 1L,1,CASE,$78.00,12,NO,6
15446249,06036,,OVALTINE COOKIES 150G,2,CASE,$41.50,24,NO,6
8163535,08317,,HTB HARD DOUGH BREAD WHITE 900G,1,CASE,$39.00,10,NO,6
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,6
9246238,05070,,WONDER CHUCK JERK SEASONING 375ML,1,CASE,$51.00,12,NO,6
9246277,05080,,WONDER CHUCK CURRY SEASONING 375ML,1,CASE,$48.00,12,NO,6
9246307,05090,,WONDER CHUCK MEAT SEASONING 375ML,1,CASE,$48.00,12,NO,6
8163545,08220,,SHIRLEY SWEET BISCUIT WIBISCO 105OZ,2,CASE,$20.00,24,NO,22
8163544,08255,,SHIRLEY COCONUT WIBISCO 105OZ,2,CASE,$20.00,24,NO,22
8177292,06090,,GRACE SWEET PLANTAIN CHIPS 85G,1,CASE,$66.00,50,YES,22
8163536,08306,,HTB SPICE BUN 12OZ,1,CASE,$86.00,36,NO,22
8163535,08317,,HTB HARD DOUGH BREAD WHITE 900G,2,CASE,$39.00,10,NO,22
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,22
14967769,05198,,TIGER MALT 341ML,1,CASE,$21.00,24,YES,22
8163534,08317,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,1
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,1
8163536,08306,,HTB SPICE BUN 12OZ,1,CASE,$86.00,36,NO,1
8163542,09705,,ANGEL BRAND PIMENTO 1.5OZ,1,CASE,$18.00,12,NO,1
20251627,08319,,NATIONAL HARD DOUGH BREAD WHITE 900G,1,CASE,$39.00,10,NO,28
8163535,08317,,HTB HARD DOUGH BREAD WHITE 900G,2,CASE,$39.00,10,NO,28
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,2,CASE,$39.00,10,NO,28
8163537,08305,,HTB SPICE BUN SMALL 4.6OZ,1,CASE,$73.00,60,NO,28
8163536,08306,,HTB SPICE BUN 12OZ,1,CASE,$86.00,36,NO,28
8163543,06090,,GOLDEN BANANA PLAINTAIN CHIPS 70G,2,CASE,$66.00,50,YES,28
8163530,06062,,ANN HONEY GINGER DRINK 324G,1,CASE,$62.00,20,NO,28
8162283,05201,,VITAMALT CLASSIC 330ML,2,CASE,$29.00,24,YES,28
14967769,05198,,TIGER MALT 341ML,1,CASE,$21.00,24,YES,28
20436696,05196,,MALTA MALTEX 330ML,1,CASE,$26.00,24,YES,28
18345057,09730,,ANGEL BRAND PEPPERMINT LEAVES 14G,1,CASE,$64.80,48,NO,28
8163534,08318,,HTB HARD DOUGH BREAD BRAN 900G,1,CASE,$39.00,10,NO,32
8163535,08317,,HTB HARD DOUGH BREAD WHITE 900G,1,CASE,$39.00,10,NO,32
20251627,08319,,NATIONAL HARD DOUGH BREAD WHITE 900G,1,CASE,$39.00,10,NO,32
8162283,05205,,VITAMALT CLASSIC 330ML,2,CASE,$29.00,24,NO,32
8177185,05201,,VITAMALT GINGER 330ML,2,CASE,$29.00,24,NO,32
9508755,09807,,TROFAI PALM SOUP 400G,1,CASE,$72.00,24,NO,32
9508790,09835,,DERICA TOMATO CONCENTRATE 400G,1,CASE,$76.00,24,NO,32
