ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
14003966,C-2248,CANDESA,ALPINA CARAMEL SPREAD 250G,1,CASE,$35.80,12,NO,43
8140188,C-2207,CANDESA,ALPINA CARAMEL SPREAD BIG 500G,1,CASE,$64.00,12,NO,43
18407748,C-003036,CANDESA,CANDESA BOCADILLO GUAVA PASTE 810G,1,CASE,$85.00,12,NO,43
14973857,CH-4110,CANDESA,CORONA CHOCOLATE 500G,2,CASE,$72.40,20,NO,43
19057585,P-5206-12,CANDESA,DONA YELLOW PEPPER PASTE 7.5OZ,1,CASE,$30.40,12,NO,43
16997353,H-21321,CANDESA,DONAREPA FLOUR DEL CAMPO 1KG,1,CASE,$26.80,10,NO,43
21302970,H-21189,CANDESA,DONAREPA YELLOW FLOUR 1KG,1,CASE,$26.80,10,NO,43
14005341,GO-7015,CANDESA,GOYA ARBOL CHILLI 3OZ,2,CASE,$35.70,12,NO,43
14005361,GO-7022,CANDESA,GOYA ANCHO CHILLI 3OZ,1,CASE,$49.40,12,NO,43
19062711,GO-7018,CANDESA,GOYA GUAJILLO CHILI 3OZ,3,CASE,$42.50,12,NO,43
11201179,GO-7121,CANDESA,GOYA SAZON AZAFRAN 20PACK 100G,1,CASE,$73.90,18,NO,43
8161641,GO-7135,CANDESA,GOYA CORIANDER & ANNATTO 180G,1,CASE,$101.20,15,NO,43
19062801,GO-7117,CANDESA,GOYA SEASONING CULANTRO ACHIOTE 1.41OZX8,1,CASE,$73.70,36,NO,43
15030721,GO-7118,CANDESA,GOYA CORIANDER ANNATTO 100G,1,CASE,$73.90,18,NO,43
8140185,GO-7120,CANDESA,GOYA ADOBO WITH SAFFRON 467G,1,CASE,$73.50,36,NO,43
8872209,C-H1016,CANDESA,PAN WHITE CORN MEAL 5LB,2,CASE,$29.50,4,NO,43
8642828,M-4128,CANDESA,LA COSTENA PICKLED JALAPENO SLICES 327ML,1,CASE,$29.40,12,NO,43
14973980,C-1002003_PK12,CANDESA,GALLETAS CRACKERS 315G,1,CASE,$22.05,12,NO,43
12505333,S-TML001_PK10,CANDESA,RIO GRANDE TAMAL CHIRILAGUA 850G,1,CASE,$78.20,10,NO,43
14973996,C-2646,CANDESA,CANOA WHOLE FRUIT LULO 453G,1,CASE,$33.50,12,NO,43
14013277,C-2799,CANDESA,"CANOA FRUIT PULP ""PASSION FRUIT"" 14OZ",1,CASE,$44.50,12,NO,43
14228123,C-2795,CANDESA,"CANOA FRUIT PULP ""SOURSOP"" 14 OZ",1,CASE,$42.70,12,NO,43
16548992,C-11090,CANDESA,ALPINA BON YURT COOKIE 160G,1,CASE,$24.10,12,NO,40
14973848,C-4018,CANDESA,CANDESA BROWN SUGAR CANE 1KG,1,CASE,$48.20,16,NO,40
8198261,R-9202,CANDESA,CARIDOM CASSAVA BREAD 283G,1,CASE,$27.10,10,NO,40
14228070,CH-4330,CANDESA,CHOCOLISTO CHOCOLATE MILK MIX 300G,1,CASE,$35.20,12,NO,40
17367019,CH-8801,CANDESA,CORONA FLASH 200G,1,CASE,$31.60,12,NO,40
14973858,H-21188,CANDESA,DONAREPA WHITE FLOUR 1KG,1,CASE,$26.80,10,NO,40
22966289,C-1002078,CANDESA,FESTIVAL CHOCOLATE COOKIES (12X4) 415G,1,CASE,$59.20,24,NO,40
14005389,C-1002054,CANDESA,FESTIVAL VANILLA COOKIES (12X4) 415G,1,CASE,$59.20,24,NO,40
16997577,C-1043328,CANDESA,FESTIVAL RECREO COOKIES (12X4) 415G,1,CASE,$29.80,12,NO,40
14973923,GO-7011,CANDESA,GOYA MANGO JELLY 482G,1,CASE,$53.50,12,NO,40
14973953,C-H1013,CANDESA,HARINA PAN WHITE CORN MEAL 1KG,2,CASE,$30.80,10,NO,40
12532508,C-H1018,CANDESA,PAN YELLOW CORN MEAL 1KG,1,CASE,$30.80,10,NO,40
13097498,M-4215,CANDESA,LA COSTENA CHIPOTLE PEPPER IN ADOBO 186,1,CASE,$54.80,24,NO,40
8162146,M-5112,CANDESA,LAVISITA TOTOPOS 396.8G,1,CASE,$46.80,9,NO,40
15468813,C-1001810,CANDESA,SALTIN NOEL TRADICIONAL CRACKERS 300G,1,CASE,$46.60,24,NO,40
16997268,C-1008002,CANDESA,CHIKY COOKIES STRAWBERRY 480G,1,CASE,$41.90,16,NO,40
17123719,C-1034997,CANDESA,SELLO ROJO COFFEE 454G,1,CASE,$109.40,12,NO,40
14013283,C-0197,CANDESA,SELLO ROJO COFFEE 250G,1,CASE,$65.60,12,NO,40
14013278,S-LCC027,CANDESA,RIO GRANDE CREMA LA BENDICION 454G,3,CASE,$38.00,8,NO,40
18325419,C-CA003,CANDESA,CANDESA BANANA LEAVES 1LB,1,CASE,$32.50,16,NO,40
10366310,M-4807,CANDESA,CANDESA CASSAVA FROZEN 500G,1,CASE,$32.90,18,NO,40
10022322,GO-7104,CANDESA,GOYA ADOBO LEMON & PEPPER 467G,1,CASE,$97.30,24,NO,37
14005309,GO-7019,CANDESA,GOYA PASILLA CHILLI 3OZ,1,CASE,$49.40,12,NO,37
14973915,GO-7009,CANDESA,GOYA GUAVA JELLY 482G,1,CASE,$53.50,12,NO,37
20011677,P-5439,CANDESA,DONA ISABEL YELLOW POTATO 14OZ,1,CASE,$65.40,24,NO,24
20011692,P-5413,CANDESA,INCA DRIED CORN 15OZ,1,CASE,$72.50,24,NO,24
