ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
9732042,2060,,FV FOODS KESO LOAF 680G,1,CASE,$7.58,2,NO,13
9732096,2054,,FV FOODS CHEESE ROLL 260G,1,CASE,$12.60,4,NO,13
16582914,2041,,FV FOODS PANDESAL WHOLE WHEAT 650G,1,CASE,$9.88,4,NO,13
15016427,13517,,FV UBE PANDESAL 600G,1,CASE,$18.90,6,NO,13
15016429,13548,,FV UBE CHEESE PANDESAL 600G,1,CASE,$18.90,6,NO,13
13347282,2055,,FV FOODS SPANISH BREAD 265G,1,CASE,$29.16,12,NO,13
13350014,2064,,FV FOODS UBE BREAD 350G,1,CASE,$12.60,4,NO,13
13347269,13088,,FV FOODS BRIOCHE - DINNER ROLL 700G,1,CASE,$12.08,4,NO,13
15022089,13630,,FV LOAF BREAD 600G,1,CASE,$4.94,2,NO,13
9732042,2060,,FV FOODS KESO LOAF 680G,2,UNITS,$8.16,2,NO,9
9732096,2054,,FV FOODS CHEESE ROLL 260G,4,UNITS,$13.28,4,NO,9
16582914,2041,,FV FOODS PANDESAL WHOLE WHEAT 650G,4,UNITS,$10.44,4,NO,9
15016427,13517,,FV UBE PANDESAL 600G,6,UNITS,$19.92,6,NO,9
13347282,2055,,FV FOODS SPANISH BREAD 265G,10,UNITS,$25.60,10,YES,9
13350014,2064,,FV FOODS UBE BREAD 350G,4,UNITS,$13.28,4,NO,9
13347269,13088,,FV FOODS BRIOCHE - DINNER ROLL 700G,4,UNITS,$12.72,4,YES,9
15022089,13630,,FV LOAF BREAD 600G,2,UNITS,$5.22,2,NO,9
15016429,13548,,FV UBE CHEESE PANDESAL 600G,6,UNITS,$19.92,6,NO,9
9732042,2060,,FV FOODS KESO LOAF 680G,2,UNITS,$4.20,1,NO,6
9732096,2054,,FV FOODS CHEESE ROLL 260G,4,UNITS,$3.50,1,NO,6
16582914,2041,,FV FOODS PANDESAL WHOLE WHEAT 650G,4,UNITS,$2.75,1,NO,6
15016427,13517,,FV UBE PANDESAL 600G,6,UNITS,$3.50,1,NO,6
15016429,13548,,FV UBE CHEESE PANDESAL 600G,6,UNITS,$3.50,1,NO,6
13347282,2055,,FV FOODS SPANISH BREAD 265G,10,UNITS,$2.70,1,NO,6
13350014,2064,,FV FOODS UBE BREAD 350G,4,UNITS,$3.50,1,NO,6
13347269,13088,,FV FOODS BRIOCHE - DINNER ROLL 700G,8,UNITS,$3.35,1,NO,6
9732096,2054,,FV FOODS CHEESE ROLL 260G,5,UNITS,$18.10,5,NO,22
16582914,2041,,FV FOODS PANDESAL WHOLE WHEAT 650G,4,UNITS,$11.40,4,NO,22
15016427,13517,,FV UBE PANDESAL 600G,8,UNITS,$28.88,8,NO,22
15016429,13548,,FV UBE CHEESE PANDESAL 600G,8,UNITS,$28.88,8,NO,22
13347282,2055,,FV FOODS SPANISH BREAD 265G,15,UNITS,$41.25,15,YES,22
13350014,2064,,FV FOODS UBE BREAD 350G,6,UNITS,$21.66,6,NO,22
13347269,13088,,FV FOODS BRIOCHE - DINNER ROLL 700G,2,UNITS,$6.84,2,NO,22
