ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
24120017,CS1102E,LEMOND,KYUNG GI MI RICE 40LB,1,CASE,$42.00,12,NO,43
23922966,DM1022,LEMOND,CRD BLACK FUNGUS 4OZ,1,CASE,$82.00,20,NO,43
23922976,JNK112,LEMOND,NS KIMCHI NOODLE MULTI 480G,1,CASE,$20.00,4,NO,43
8169511,JNS112,LEMOND,NONGSHIM SHIN RAMEN M 480G,2,CASE,$38.40,4,NO,43
12097215,KB1104,LEMOND,CJ KOREAN BBQ CHICKEN PORK 480G,1,CASE,$50.40,12,NO,43
8169504,KS2045,LEMOND,DAESANG RED PEPPER PASTE 500G,1,CASE,$80.00,20,NO,43
23923573,NO1004M,LEMOND,OTG CHEESE RAMEN MULTI 444G,2,CASE,$53.60,8,NO,43
23884945,EA9901,LEMOND,OH SANUKI UDON 230G,1,CASE,$33.60,8,NO,43
18851472,EC1053,LEMOND,CRD DUMPLING VEGETABLE 540G,1,CASE,$35.00,10,NO,43
18851511,EC4983,LEMOND,CJ BIBIGO CHEESE CORN DOG 480G,1,CASE,$106.80,12,NO,43
11396980,EC4997,LEMOND,BIBIGO SPICY PORK DUMPLING 680G,1,CASE,$117.60,12,NO,43
18425169,KB1053A,LEMOND,CJ COOKED WHITE RICE 210G,1,CASE,$19.20,12,NO,43
18425157,KB1053C,LEMOND,CJ COOKED WHITE RICE 6X210G,1,CASE,$84.60,6,NO,43
23933710,PS2010,LEMOND,CRD FINE SEA SALT 454G,1,CASE,$54.00,30,NO,43
8283571,LM1001,LEMOND,MAEIL BIOFEEL PLAIN 315ML,1,CASE,$25.20,20,YES,41
18614099,NB1001,LEMOND,BULRAMEN SPICY CKN ORI BLACK 5PACK,2,CASE,$44.00,8,NO,41
21244367,TP9905,LEMOND,VTALK PINK PEACHADE 350ML,1,CASE,$23.60,24,YES,41
8566778,EH1107,LEMOND,HS RICE CAKE STICK 1KG,2,CASE,$39.60,12,NO,41
8169377,OC1017,LEMOND,FISH CAKE SQUARE 900G,1,CASE,$69.60,12,YES,41
8854762,GG0009,LEMOND,GREENHAT MAT KIMCHI 1.2KG,2,CASE,$50.40,12,NO,40
20436453,GG0011,LEMOND,GREEN HAT KIMCHI 500G,2,CASE,$28.80,12,NO,40
10283307,KS2052A,LEMOND,HAECHANDLE GOCHUJANG 1KG,1,CASE,$96.00,12,NO,40
8731607,KY1011,LEMOND,YOPOKKI SWEET AND SPICY CUP 140G,4,CASE,$66.00,30,NO,40
22763982,ND1001,LEMOND,DAIFUKU TEMPURA UDON 223G,2,CASE,$33.60,12,NO,40
8180820,NS1078A,LEMOND,SAMYANG BULDAK HOT CHICKEN CHEESE 700G,1,CASE,$51.20,8,NO,40
