ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK
8103874,DR-63,SALEM,DURRA KESHK 500G,1,CASE,$96.00,12,NO,13
15105218,RG-01,SALEM,SALEEM CARAVAN INDIAN RICE 10LB,5,CASE,$56.00,4,NO,13
15471922,SA-24,SALEM,TIME WAFER MASTER GOFRET COCONUT 24X13G,1,CASE,$39.00,12,NO,13
15464415,SA-25,SALEM,TIME WAFER MASTER GOFRET HAZELNUT,1,CASE,$39.00,12,NO,13
15105241,ZD-06,SALEM,SALEM MAKDOOS EGGPLANT 1L,1,CASE,$96.00,12,NO,13
11180480,ZD-13,SALEM,SALEM TOMATO PASTE 750G,2,CASE,$39.00,12,NO,13
8103869,AK-01,,AL AMEED COFFEE MED WITH CARD 226G,1,CASE,$45.00,12,NO,3
15463976,SA-21,,TIME SUPERROLL HAZELNUT,1,CASE,$42.00,12,NO,3
15471922,SA-23,,TIME WAFER MASTER GOFRET COCONUT 24X13G,1,CASE,$39.00,12,NO,3
8103870,ZD-14,,KASIH GOLDEN TAHINI 450G,1,CASE,$72.00,12,NO,3
11180527,ZD-20,,SALEM GRAPES LEAVES 400G,1,CASE,$39.00,12,NO,3
8103876,ZD-44,,SALEM DATE MOLASSES 900G,1,CASE,$54.00,12,NO,3
8311199,ZG-06,,PUCK 500G,1,CASE,$57.00,6,NO,3
8103875,ZG-07,,PUCK CREAM 170G,1,CASE,$78.00,48,NO,3
8803651,CG-01,,CALIFORNIA GARDEN FAVA BEANS 450G,,,,,,32
8103871,CG-03,,CG FAVA BEANS EGYPTIAN RECIPE CAN 454G,,,,,,32
8103872,CG-05,,CG FAVA BEANS SAUDI RECIPE 454G,,,,,,32
15105095,CG-19,,SALEM HUMMOS TAHINA CAN 380G,,,,,,32
15105099,DR-01,,DURRA HALAWA PLAIN 350G,,,,,,32
15105210,HC-28,,MAGGI VEGE CUBES 24*21G,,,,,,32
15468478,ZD-05,,SALEM PREMIUM TAHINA 900G,,,,,,32
15464104,ZD-19,,SALEM PICKLED ARTICHOKE 1300G,,,,,,32
15105324,ZM-06,,SALEM CURRY POWDER 200G,,,,,,32
15105366,ZM-28,,SALEM GROUND CINNAMON 200G,,,,,,32
8103870,AK-01,,KASIH GOLDEN TAHINI 450G,1,CASE,$45.00,12,NO,43
23933190,AL-32,,ALATTAR HIBISCUS 30G,1,CASE,$30.00,12,NO,43
23933194,AR-05,,ALKHALIL GREEN ZAATAR 500G,1,CASE,$100.00,12,NO,43
23933427,AR-12,,ALKHALIL SAGE 100G,1,CASE,$55.00,12,NO,43
23933437,DR-61,,DURRA CHICKPEAS 400G,1,CASE,$26.00,24,NO,43
23933613,DR-81,,DURRA HOMMOS W TAHINI 220G,1,CASE,$38.00,48,NO,43
15105210,HC-28,,MAGGI VEGE CUBES 24*21G,1,CASE,$98.00,24,NO,43
15464093,SA-23,,TIME WAFER MASTER WITH CHOCO CREAM,1,CASE,$39.00,12,NO,43
15464415,SA-25,,TIME WAFER MASTER GOFRET HAZELNUT,1,CASE,$39.00,12,NO,43
23933622,ZD-14,,SALEM PICKLED CUCUMBERS 2800G,1,CASE,$40.00,4,NO,43
15105284,ZD-21,,SALEM HOT PEPPER PASTE JAR 375ML,1,CASE,$27.00,12,NO,43
8103876,ZD-44,,SALEM DATE MOLASSES 900G,1,CASE,$54.00,12,NO,43
23933639,ZK-02,,SALEM DRY MOLOKHIA 200G,1,CASE,$45.00,12,NO,43
23933651,ZK-03,,SALEM DRY MOLOKHIA 400G,1,CASE,$64.00,10,NO,43
23933658,ZM-24,,SALEM CLOVES WHOLE 150G,1,CASE,$60.00,12,NO,43
16417540,ZW-01,,ELITE CHICKEN LUNCHEON HALAL 340G,2,CASE,$65.00,24,NO,43
