ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
8169514,SAY005,,SAMYANG BULDAK BOKKUMYUN M 700G,1,CASE,$117.40,16,NO,W41,
10366471,GLI009,,GLICO POCKY CHOCO BANANA 70G,2,CASE,$22.50,10,NO,W41,
20630331,GLI001,,GLICO POCKY STRAWBERRY BAG 156G,2,CASE,$21.50,5,NO,W41,
15757620,GLI017,,GLICO POCKY COOKIES & CREAM 70G,2,CASE,$22.50,10,NO,W41,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,NO,W41,
8170519,YNY059,,Y Y BRAND SEA GREENS SEAWEED BBQ 15G,1,CASE,$44.00,24,NO,W41,
19036588,YNY073,,YY SUSHI NORI 28G,1,CASE,$22.33,10,NO,W41,
15757675,LZU003,,WATSON LONG THIN NOODLE 440G,1,CASE,$51.30,18,NO,W41,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W41,
15016482,INM007,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,1,CASE,$22.00,6,NO,W41,
20682740,PAL001,,PALDO JJAJANGMEN NOODLE MULTIS 812G,1,CASE,$70.00,8,NO,W41,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,3,CASE,$65.00,8,NO,W41,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W41,
9379954,YNY020,,Y & Y 3 MINUTE CHOWMEIN 454G,1,CASE,$24.00,12,NO,W41,
23584101,LKK076,,LKK CHINESE MARINADE 410ML,1,CASE,$48.00,12,NO,W41,
10472728,LKK088,,LKK HOISIN SAUCE 443ML,1,CASE,$47.00,12,NO,W41,
14811898,LKK090,,LKK PURE SESAME OIL 445ML,1,CASE,$96.00,12,NO,W41,
8180481,MAP006,,MAEPLOY RED CURRY PASTE 400G,1,CASE,$75.00,24,NO,W41,
10368195,MSR005,,MAESRI GREEN CURRY PASTE 114G,1,CASE,$58.00,48,NO,W41,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$31.00,12,NO,W41,
23805224,PRB006,,PRB MUSHROOM SOY SAUCE 500ML,1,CASE,$39.00,12,NO,W41,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W41,
8170502,SNB001,,S B WASABI IN TUBE 43G,1,CASE,$24.00,10,NO,W41,
18966469,GLI002,,GLICO POCKY CHOCOLATE BAG 156G,2,CASE,$21.50,10,NO,W41,
21991002,OTT003,,OTTOGI JIN CUP MILD 65G,2,CASE,$13.00,6,NO,W39,
21991041,OTT004,,OTTOGI JIN CUP SPICY 65G,2,CASE,$13.00,6,NO,W39,
22007112,PAL014,,PALDO BIBIM MEN 520G,2,CASE,$28.00,6,NO,W39,
20682740,PAL003,,PALDO JJAJANGMEN NOODLE MULTIS 812G,2,CASE,$29.00,4,NO,W39,
18285321,PAL007,,PALDO VOLCANO CHK NDL 140GX4,2,CASE,$25.00,4,NO,W39,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W39,
8169514,SAY005,,SAMYANG BULDAK BOKKUMYUN M 700G,2,CASE,$58.70,8,NO,W39,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.00,8,NO,W39,
8180820,SAY016,,SAMYANG BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W39,
9378047,YNY039,,Y&Y BROWN RICE VERMICELLI 400G,1,CASE,$50.00,20,NO,W39,
12835559,HMK001,,HANAMARUKI SOYBEAN PASTE WHITE 500G,2,CASE,$28.00,6,NO,W39,
17189952,HMK002,,HANAMARUKI SOYBEAN PASTE RED 500G,2,CASE,$28.00,6,NO,W39,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W39,
14811915,KDY001,,KADOYA ROASTED SEASAME OIL 163ML,1,CASE,$120.00,24,NO,W39,
8170545,LKK094,,LKK CHAR SIU SAUCE 320ML,1,CASE,$60.00,12,NO,W39,
22351784,LKK120,,LKK CHICKEN MARINADE 410ML,1,CASE,$48.00,12,NO,W39,
22676205,LKK020,,LKK CHILI BEAN SAUCE 368G,1,CASE,$57.00,12,NO,W39,
